"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (ETH) ","Asset","Txn Fee"
"0xceec4d2b2349dc38b97d97672d459a31f66e017c011e768342d25faeddb99659","Success","ERC-20","Swap","22096018","14 secs ago","0x74de5d4fcbf63e00296fd95d33236b9794016631","MetaMask: Swaps Spender","0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa"," Uniswap V3: wstETH 3","0.263221","0.2632 ETH","Wrapped Ether(WETH)","0.00018286"
"0x09d8a7eb96d427a267cbeeffbd185b05b7e249fef283f6119409413b2f14f578","Success","ERC-20","Execute","22096018","14 secs ago","0xA43fe16908251ee70EF74718545e4FE6C5cCEc9f"," ","0x66a9893cc07d91d95644aedd05d03f95e1dba8af"," Uniswap V4: Universal Router","0.162505","0.1625 ETH","Wrapped Ether(WETH)","0.00017761"
"0x09d8a7eb96d427a267cbeeffbd185b05b7e249fef283f6119409413b2f14f578","Success","ERC-20","Execute","22096018","14 secs ago","0x66a9893cc07d91d95644aedd05d03f95e1dba8af","Uniswap V4: Universal Router","0x000000fee13a103A10D593b9AE06b3e05F2E7E1c"," ","0.000406","0.00040624 ETH","Wrapped Ether(WETH)","0.00017761"
"0xc27ce2cf9dd41ab3b3cd468654664931928ca970b279866e3900f0a2c37234df","Success","ERC-20","Transfer From","22096018","14 secs ago","0xE7a55fCe588C6689a2Cbc92E67F8c374a4171461"," ","0xbA59D14582D34CC5e12130866d68790Ad80c8294"," ","48,000","0 ETH","USDС(USDС)","0.00011572"
"0xc27ce2cf9dd41ab3b3cd468654664931928ca970b279866e3900f0a2c37234df","Success","ERC-20","Transfer From","22096018","14 secs ago","0xfe9C9EA71ac9131062E2D967a854B5f19F1CbDA6"," ","0x3d69F26D4F4Ab9c6C19A32E292ec67dfce188A82"," ","10","0 ETH","USDС(USDС)","0.00011572"
"0xc27ce2cf9dd41ab3b3cd468654664931928ca970b279866e3900f0a2c37234df","Success","ERC-20","Transfer From","22096018","14 secs ago","0x939AF1AC43c7437d13C1AA2A36340eFa5461cDfE"," ","0xFDc4C8921CCa4a7c79eC9D864277aDB87bB4107f"," ","73,992.703681","0 ETH","USDС(USDС)","0.00011572"
"0xc27ce2cf9dd41ab3b3cd468654664931928ca970b279866e3900f0a2c37234df","Success","ERC-20","Transfer From","22096018","14 secs ago","0xd491B2781ee254104f4286B3B34Cfa85dAa701D3"," ","0x7De3dE065b4e85262aBDe0bD841883aEd8a8f012"," ","85,081.64","0 ETH","USDС(USDС)","0.00011572"
"0xc27ce2cf9dd41ab3b3cd468654664931928ca970b279866e3900f0a2c37234df","Success","ERC-20","Transfer From","22096018","14 secs ago","0x0529ea5885702715e83923c59746ae8734c553B7"," ","0xcCc3aD1fB45894eDDC8c55168C654022227C0B14"," ","1,950,000","0 ETH","USDС(USDС)","0.00011572"
"0xfc037721461cbc310a0ddb5625211c17352d00f4775461ab7df181f7292b4312","Success","ERC-20","Swap","22096018","14 secs ago","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," ","0xaD30f7EEBD9Bd5150a256F47DA41d4403033CdF0"," ","0.571353","0.00012687 ETH","SPX6900(SPX)","0.00012331"
"0x072601b01eed0cef2d62d90175082829256355d59a9985a7052ee9b58739d3b7","Success","ERC-20","Transfer","22096018","14 secs ago","0x6acA4726335b4CC679531De697F2e64648215245"," ","0x83c41363cbee0081dab75cb841fa24f3db46627e"," KuCoin 18","6,002.978627","3.0739 ETH","Tether USD(USDT)","0.00002179"
"0x36b24dca0e1ec52443490c84edc1c7d12000cf3a6eee6f50703d2b6d5c718465","Success","ERC-20","Swap Exact ETH For Tokens","22096018","14 secs ago","0xa5d991c9cf231cf9d891ef71c8ee31de19d75398","Uniswap V2: GRK 18","0x4cB748dd0456B58BE42EDCBff3f021470E65c1bf"," ","30.161452","0 ETH","Grok AI(GRK)","0.0000528"
"0x3f8891cc350bf7b8fbc374be0ae485d8947a472e5273884026d791ba86929605","Success","ERC-20","Transfer","22096018","14 secs ago","0x67be8cE27EF8158d51d8593bb5B26eAfacC955d9"," ","0xF6D4E5a7c5215F91f59a95065190CCa24bf64554"," ","3.24","0.0489 ETH","Tellor Tributes(TRB)","0.00005226"
"0x26b3d707200f664d50c8ae1804cf24cb438388282141fd4e4b1d700dac38d3dd","Success","ERC-20","Transfer","22096018","14 secs ago","0x838f6A96edD52E2ED1AC3F8DE4e14a11a26aE75C"," ","0x9D3084D0fdabCE20F1bD3271D86B0e4f630c64C7"," ","500","0.2561 ETH","USDC(USDC)","0.00002346"
"Withdrawal","","Withdrawal","Transfer","22096018","14 secs ago","1587896"," ","0xE5651Ebe5B4D2B5Bf84C08A8a488D449Fc578990"," ","0.018885","0 ETH","Ethereum(ETH)","-"
