Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Type,Item,Quantity
"0x68bb30ea0361d0e0b0a2227853592263409cd5f9b6b22ee742488a3dec9b5ee3","Success","Fulfill Advanced Order","22094127","2025-03-21 08:44:23","0xc2BE6b252bb41ccf36Cb89309B87bA941D27bB49","","0x3BDF8C4F5Fd8E40CAcb8DFDa2B9cA5049DF1610B","","ERC-721","Persona","1"
"0x272e2e12b56ed9e698bcb6fbce8080281ac9f3b436ffed28f36c89c6fd3ffcab","Success","Redeem Due Interest And Rewards V2","22094125","2025-03-21 08:43:59","0xF7DE3c70F2db39a188A81052d2f3C8e3e217822a","","0x0000000000000000000000000000000000000000","Null: 0x000...000","ERC-1155","NFT: SuperPositions","214276"
"0x272e2e12b56ed9e698bcb6fbce8080281ac9f3b436ffed28f36c89c6fd3ffcab","Success","Redeem Due Interest And Rewards V2","22094125","2025-03-21 08:43:59","0xF7DE3c70F2db39a188A81052d2f3C8e3e217822a","","0x0000000000000000000000000000000000000000","Null: 0x000...000","ERC-1155","NFT: SuperPositions","4018322017147615656"
"0x1c26ddee1181390625e9d9899f9bd963c56104afab39d807a943a41f6d3f445b","Success","0xf57a1ee4","22094124","2025-03-21 08:43:47","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x8fBA03c741d453DBaF06BE20E3A0a14d21B296e3","","ERC-721","NFT","1"
"0xe5638410ce633de9172f9aca9d8b423edb74d1c1dffa46f030dfacccd7dbe33c","Success","Claim Withdrawals","22094123","2025-03-21 08:43:35","0x2e898509AD5c2b2FD7880b5fE849e1EA2E8d1113","","0x0000000000000000000000000000000000000000","Null: 0x000...000","ERC-721","Lido: stETH Withdrawal NFT","1"
"0x38a0e2519a228a4f8b1c1a705055177e6ed9974ee1d7f39c2436523ed6b27954","Success","Fulfill Available Advanced Orders","22094123","2025-03-21 08:43:35","0xb2580c5E3D49f9DC13508BC6cBc312619442C28C","","0x6da21D6307E70e61DE59188c30B0f2Be8f4619F1","","ERC-721","Farmer","1"
"0x38a0e2519a228a4f8b1c1a705055177e6ed9974ee1d7f39c2436523ed6b27954","Success","Fulfill Available Advanced Orders","22094123","2025-03-21 08:43:35","0xb2580c5E3D49f9DC13508BC6cBc312619442C28C","","0x6da21D6307E70e61DE59188c30B0f2Be8f4619F1","","ERC-721","Farmer","1"
"0x38a0e2519a228a4f8b1c1a705055177e6ed9974ee1d7f39c2436523ed6b27954","Success","Fulfill Available Advanced Orders","22094123","2025-03-21 08:43:35","0xb2580c5E3D49f9DC13508BC6cBc312619442C28C","","0x6da21D6307E70e61DE59188c30B0f2Be8f4619F1","","ERC-721","Farmer","1"
"0x38a0e2519a228a4f8b1c1a705055177e6ed9974ee1d7f39c2436523ed6b27954","Success","Fulfill Available Advanced Orders","22094123","2025-03-21 08:43:35","0xb2580c5E3D49f9DC13508BC6cBc312619442C28C","","0x6da21D6307E70e61DE59188c30B0f2Be8f4619F1","","ERC-721","Farmer","1"
"0x0c0454f2c3ab296d601bfcbba83c6328fd684fb9a711613bb83f54964beec3d8","Success","Sell Eth For Token To Uniswap V3","22094122","2025-03-21 08:43:23","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x71a8053384B6045E158C6Eb1AD7E135569C27fA2","","ERC-721","NFT: Chiblings","1"
"0x0c0454f2c3ab296d601bfcbba83c6328fd684fb9a711613bb83f54964beec3d8","Success","Sell Eth For Token To Uniswap V3","22094122","2025-03-21 08:43:23","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x71a8053384B6045E158C6Eb1AD7E135569C27fA2","","ERC-721","NFT: Chiblings","1"
"0x0c0454f2c3ab296d601bfcbba83c6328fd684fb9a711613bb83f54964beec3d8","Success","Sell Eth For Token To Uniswap V3","22094122","2025-03-21 08:43:23","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x71a8053384B6045E158C6Eb1AD7E135569C27fA2","","ERC-721","NFT: Chiblings","1"
"0x0c0454f2c3ab296d601bfcbba83c6328fd684fb9a711613bb83f54964beec3d8","Success","Sell Eth For Token To Uniswap V3","22094122","2025-03-21 08:43:23","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x71a8053384B6045E158C6Eb1AD7E135569C27fA2","","ERC-721","NFT: Chiblings","1"
"0x0c0454f2c3ab296d601bfcbba83c6328fd684fb9a711613bb83f54964beec3d8","Success","Sell Eth For Token To Uniswap V3","22094122","2025-03-21 08:43:23","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x71a8053384B6045E158C6Eb1AD7E135569C27fA2","","ERC-721","NFT: Chiblings","1"
"0x0c0454f2c3ab296d601bfcbba83c6328fd684fb9a711613bb83f54964beec3d8","Success","Sell Eth For Token To Uniswap V3","22094122","2025-03-21 08:43:23","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x71a8053384B6045E158C6Eb1AD7E135569C27fA2","","ERC-721","NFT: Chiblings","1"
